Title,IMDb_rating,Year,Certificates,Genre,Director,Star_cast,MetaScore,Duration_minutes
Interstellar,8.7,2014,PG-13,Adventure,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,74,169
Planet of the Apes,8,1968,G,Adventure,Franklin J. Schaffner,Michael WilsonRod SerlingPierre Boulle,79,112
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae,80,114
Twisters,7.1,2024,PG-13,Action,Lee Isaac Chung,Mark L. SmithJoseph KosinskiMichael Crichton,66.9,116.3
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54,157
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77,96
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81,124
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77,104
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79,130
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50,120
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73,88
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82,140
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46,115
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64,93
Dune,8,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,74,155
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31,101
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47,115
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26,116
Civil War,7.4,2024,R,Action,Alex Garland,Kirsten DunstWagner MouraCailee Spaeny,75,109
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90,120
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37,118
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson,79,166
Kingdom of the Planet of the Apes,7.2,2024,PG-13,Action,Wes Ball,Owen TeagueFreya AllanKevin Durand,66,145
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79,148
WALL·E,8.4,2008,G,Animation,Andrew Stanton,Andrew StantonPete DocterJim Reardon,95,98
Spider-Man: Beyond the Spider-Verse,7.1,2015,R,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,66.9,116.3
Hercules,7.3,1997,G,Animation,Ron Clements,Ron ClementsJohn MuskerDon McEnery,74,93
Sing,7.1,2016,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonSeth MacFarlane,59,108
Castle in the Sky,8,1986,PG,Animation,Hayao Miyazaki,Hayao MiyazakiJonathan Swift,78,125
"Monsters, Inc.",8.1,2001,G,Animation,Pete Docter,Pete DocterJill CultonJeff Pidgeon,79,92
Tangled,7.7,2010,PG,Animation,Nathan Greno,Mandy MooreZachary LeviDonna Murphy,71,100
Up,8.3,2009,PG,Animation,Pete Docter,Pete DocterBob PetersonTom McCarthy,88,96
Toy Story,8.3,1995,G,Animation,John Lasseter,John LasseterPete DocterAndrew Stanton,96,81
Puss in Boots: The Last Wish,7.8,2022,PG,Animation,Joel Crawford,Paul FisherTommy SwerdlowTom Wheeler,73,102
Encanto,7.2,2021,PG,Animation,Jared Bush,Charise Castro SmithJared BushByron Howard,75,102
Coco,8.4,2017,PG,Animation,Lee Unkrich,Lee UnkrichJason KatzMatthew Aldrich,81,105
Frozen,7.4,2013,PG,Animation,Chris Buck,Jennifer LeeHans Christian AndersenChris Buck,75,102
Mufasa: The Lion King,7.1,2024,R,Animation,Barry Jenkins,Linda WoolvertonIrene MecchiJonathan Roberts,66.9,116.3
Howl's Moving Castle,8.2,2004,PG,Animation,Hayao Miyazaki,Chieko BaishôTakuya KimuraTatsuya Gashûin,82,119
Zootopia,8,2016,PG,Animation,Byron Howard,Byron HowardRich MooreJared Bush,78,108
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,2023,PG,Animation,Jeff Rowe,Seth RogenEvan GoldbergJeff Rowe,74,99
Kung Fu Panda,7.6,2008,PG,Animation,Mark Osborne,Jonathan AibelGlenn BergerEthan Reiff,74,92
The Lion King,6.8,2019,PG,Animation,Jon Favreau,Jeff NathansonIrene MecchiJonathan Roberts,55,118
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman,87,117
The Incredibles,8,2004,PG,Animation,Brad Bird,Craig T. NelsonSamuel L. JacksonHolly Hunter,90,115
Mars Express,7.5,2023,Not Rated,Animation,Jérémie Périn,Léa DruckerMathieu AmalricDaniel Njo Lobé,76,88
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman,75,93
Your Name.,8.4,2016,R,Animation,Makoto Shinkai,Makoto ShinkaiClark Cheng,81,116.3
Elemental,7,2023,PG,Animation,Peter Sohn,John HobergKat LikkelBrenda Hsueh,58,101
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad BirdJan PinkavaJim Capobianco,96,111
Moana,7.6,2016,PG,Animation,Ron Clements,Ron ClementsJohn MuskerDon Hall,81,107
Harold and the Purple Crayon,7.1,2024,PG,Animation,Carlos Saldanha,Zachary LeviLil Rel HoweryBenjamin Bottani,66.9,92
Finding Nemo,8.2,2003,G,Animation,Andrew Stanton,Andrew StantonBob PetersonDavid Reynolds,90,100
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonScarlett Johansson,49,110
Trolls Band Together,6,2023,PG,Animation,Walt Dohrn,Anna KendrickJustin TimberlakeKenan Thompson,53,91
Transformers One,7.1,2024,R,Animation,Josh Cooley,Chris HemsworthBrian Tyree HenryScarlett Johansson,66.9,116.3
The Boy and the Heron,7.6,2023,PG-13,Animation,Hayao Miyazaki,Hayao Miyazaki,91,124
The Lion King,8.5,1994,G,Animation,Roger Allers,Irene MecchiJonathan RobertsLinda Woolverton,88,88
Cars,7.2,2006,G,Animation,John Lasseter,John LasseterJoe RanftJorgen Klubien,73,116
Shrek,7.9,2001,PG,Animation,Andrew Adamson,William SteigTed ElliottTerry Rossio,84,90
Spirited Away,8.6,2001,PG,Animation,Hayao Miyazaki,Hayao Miyazaki,96,125
Moana 2,7.1,2024,R,Animation,David G. Derrick Jr.,Gil KenanJason ReitmanIvan Reitman,66.9,116.3
The Super Mario Bros. Movie,7,2023,PG,Animation,Aaron Horvath,Aaron HorvathMichael JelenicPierre Leduc,46,92
The Lord of the Rings: The War of the Rohirrim,7.1,2024,R,Animation,Kenji Kamiyama,Jeffrey AddissPhoebe GittinsWill Matthews,66.9,116.3
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95
Migration,6.7,2023,PG,Animation,Benjamin Renner,Mike WhiteBenjamin RennerKen Daurio,56,83
Spider-Man: Across the Spider-Verse,8.6,2023,PG,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,86,140
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94,95
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47,95
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54,94
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64,93
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31,101
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46,104
Taxi Driver,8.2,1976,R,Crime,Martin Scorsese,"Robert De Niro,Jodie Foster,Cybill Shepherd",94,114
Kill Bill: Vol. 1,8.2,2003,R,Action,Quentin Tarantino,"Quentin Tarantino ,Uma Thurman",69,111
We're the Millers,7,2013,R,Comedy,Rawson Marshall Thurber,"Bob FisherSteve , FaberSean Anders",44,110
The Green Mile,8.6,1999,R,Crime,Frank Darabont,Tom HanksMichael Clarke DuncanDavid Morse,61,189
Animal,6.2,2023,Not Rated,Action,Sandeep Reddy Vanga,Suresh BandaruSaurabh GuptaPranay Reddy Vanga,33,204
Prisoners,8.2,2013,R,Crime,Denis Villeneuve,Hugh JackmanJake GyllenhaalViola Davis,70,153
12 Angry Men,9,1957,Approved,Crime,Sidney Lumet,Reginald Rose,97,96
Joker,8.4,2019,R,Crime,Todd Phillips,Todd PhillipsScott SilverBob Kane,59,122
Sicario,7.7,2015,R,Action,Denis Villeneuve,Emily BluntJosh BrolinBenicio Del Toro,82,121
Baby Driver,7.5,2017,R,Action,Edgar Wright,Ansel ElgortJon BernthalJon Hamm,86,113
The Crow,7.5,1994,R,Action,Alex Proyas,Brandon LeeMichael WincottRochelle Davis,71,102
Léon: The Professional,8.5,1994,R,Action,Luc Besson,Jean RenoGary OldmanNatalie Portman,64,110
In the Land of Saints and Sinners,6.3,2023,R,Action,Robert Lorenz,Kerry CondonDesmond EastwoodConor MacNeill,60,106
The Equalizer,7.2,2014,R,Action,Antoine Fuqua,Denzel WashingtonMarton CsokasChloë Grace Moretz,57,132
The Equalizer 3,6.8,2023,R,Action,Antoine Fuqua,Denzel WashingtonDakota FanningEugenio Mastrandrea,58,109
Wicked Little Letters,7,2023,R,Comedy,Thea Sharrock,Jessie BuckleyOlivia ColmanTimothy Spall,58,100
Beverly Hills Cop,7.4,1984,R,Action,Martin Brest,Daniel Petrie Jr.Danilo Bach,66,105
The Silence of the Lambs,8.6,1991,R,Crime,Jonathan Demme,Jodie FosterAnthony HopkinsScott Glenn,86,118
Heat,8.3,1995,R,Action,Michael Mann,Al PacinoRobert De NiroVal Kilmer,76,170
No Country for Old Men,8.2,2007,R,Crime,Ethan Coen,Tommy Lee JonesJavier BardemJosh Brolin,92,122
Se7en,8.6,1995,R,Crime,David Fincher,Morgan FreemanBrad PittKevin Spacey,65,127
John Wick: Chapter 4,7.7,2023,R,Action,Chad Stahelski,Keanu ReevesLaurence FishburneGeorge Georgiou,78,169
The Talented Mr. Ripley,7.4,1999,R,Crime,Anthony Minghella,Matt DamonGwyneth PaltrowJude Law,76,139
The Outsiders,7,1983,PG,Crime,Francis Ford Coppola,C. Thomas HowellMatt DillonRalph Macchio,45,91
The Departed,8.5,2006,R,Crime,Martin Scorsese,Leonardo DiCaprioMatt DamonJack Nicholson,85,151
Goodfellas,8.7,1990,R,Biography,Martin Scorsese,Nicholas PileggiMartin Scorsese,92,145
MaXXXine,7.1,2024,R,Crime,Ti West,Ti West,66.9,103
The Wolf of Wall Street,8.2,2013,R,Biography,Martin Scorsese,Leonardo DiCaprioJonah HillMargot Robbie,75,180
The Batman,7.8,2022,PG-13,Action,Matt Reeves,Matt ReevesPeter CraigBob Kane,72,176
The Courier,6,2024,R,Crime,Daniel Calparsoro,Arón PiperMaría PedrazaLuis Tosar,66.9,116.3
The Dark Knight,9,2008,PG-13,Action,Christopher Nolan,Jonathan NolanChristopher NolanDavid S. Goyer,84,152
Killers of the Flower Moon,7.6,2023,R,Crime,Martin Scorsese,Leonardo DiCaprioRobert De NiroLily Gladstone,89,206
Pulp Fiction,8.9,1994,R,Crime,Quentin Tarantino,Quentin TarantinoRoger Avary,95,154
Force of Nature: The Dry 2,6,2024,R,Crime,Robert Connolly,Eric BanaAnna TorvDeborra-Lee Furness,58,120
The Crow,7.1,2024,R,Action,Rupert Sanders,Bill SkarsgårdFKA twigsDanny Huston,66.9,116.3
Anatomy of a Fall,7.7,2023,R,Crime,Justine Triet,Sandra HüllerSwann ArlaudMilo Machado-Graner,86,151
The Bikeriders,7.5,2023,R,Crime,Jeff Nichols,Jodie ComerAustin ButlerTom Hardy,73,116
The Godfather,9.2,1972,R,Crime,Francis Ford Coppola,Mario PuzoFrancis Ford Coppola,100,175
The Gentlemen,7.8,2019,R,Action,Guy Ritchie,Guy RitchieIvan AtkinsonMarn Davies,51,113
The Judge,7.4,2014,R,Crime,David Dobkin,Nick SchenkBill DubuqueDavid Dobkin,48,141
The Last Stop in Yuma County,7,2023,R,Crime,Francis Galluppi,Jim CummingsFaizon LoveJocelin Donahue,72,90
Beverly Hills Cop: Axel F,7.1,2024,R,Action,Mark Molloy,Will BeallTom GormicanKevin Etten,66.9,115
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77,104
Hit Man,7.4,2023,R,Action,Richard Linklater,Adria ArjonaGlen PowellRetta,83,115
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101
Disturbia,6.8,2007,PG-13,Crime,D.J. Caruso,Christopher LandonCarl Ellsworth,62,105
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67,117
Emilia Perez,7.2,2024,R,Comedy,Jacques Audiard,Jacques AudiardThomas BidegainNicolas Livecchi,70,116.3
Boy Kills World,6.5,2023,R,Action,Moritz Mohr,Tyler Burton SmithArend RemmersMoritz Mohr,47,111
Monster,4.6,2023,TV-MA,Horror,Rako Prijanto,Marsha TimothyAlex AbbadAnantya Kirana,66.9,86
Glass,6.6,2019,PG-13,Drama,M. Night Shyamalan,M. Night Shyamalan,43,129
Lisa Frankenstein,6.1,2024,PG-13,Comedy,Zelda Williams,Kathryn NewtonLiza SoberanoJenna Davis,47,101
It,7.3,2017,R,Fantasy,Andy Muschietti,Chase PalmerCary Joji FukunagaGary Dauberman,69,135
Smile,6.5,2022,R,Horror,Parker Finn,Sosie BaconJessie T. UsherKyle Gallner,68,115
The Dead Don't Die,5.5,2019,R,Comedy,Jim Jarmusch,Bill MurrayAdam DriverTilda Swinton,53,104
Nosferatu,7.1,2024,R,Fantasy,Robert Eggers,Aaron Taylor-JohnsonBill SkarsgårdNicholas Hoult,66.9,116.3
A Serbian Film,5,2010,NC-17,Horror,Srdjan Spasojevic,Srdjan 'Zika' TodorovicSergej TrifunovicJelena Gavrilovic,66.9,104
Mandy,6.5,2018,Not Rated,Action,Panos Cosmatos,Panos CosmatosAaron Stewart-AhnCasper Kelly,83,121
The Crow,7.5,1994,R,Action,Alex Proyas,Brandon LeeMichael WincottRochelle Davis,71,102
The Prodigy,5.9,2019,R,Fantasy,Nicholas McCarthy,Taylor SchillingJackson Robert ScottPeter Mooney,45,92
Split,7.3,2016,PG-13,Horror,M. Night Shyamalan,James McAvoyAnya Taylor-JoyHaley Lu Richardson,63,117
The Menu,7.2,2022,R,Comedy,Mark Mylod,Ralph FiennesAnya Taylor-JoyNicholas Hoult,71,107
Nope,6.8,2022,R,Horror,Jordan Peele,Daniel KaluuyaKeke PalmerBrandon Perea,77,130
Five Nights at Freddy's,5.5,2023,PG-13,Horror,Emma Tammi,Scott CawthonSeth CuddebackEmma Tammi,33,109
Alien,8.5,1979,R,Horror,Ridley Scott,Dan O'BannonRonald Shusett,89,117
A Quiet Place,7.5,2018,PG-13,Drama,John Krasinski,Bryan WoodsScott BeckJohn Krasinski,82,90
The First Omen,6.7,2024,R,Horror,Arkasha Stevenson,Tim SmithArkasha StevensonKeith Thomas,65,119
Midsommar,7.1,2019,R,Drama,Ari Aster,Florence PughJack ReynorVilhelm Blomgren,72,148
The Killing of a Sacred Deer,7,2017,R,Drama,Yorgos Lanthimos,Barry G. BernsonHerb CaillouetBill Camp,73,121
Talk to Me,7.1,2022,R,Horror,Danny Philippou,Ari McCarthyHamish PhillipsKit Erhart-Bruce,76,95
Hereditary,7.3,2018,R,Drama,Ari Aster,Toni ColletteMilly ShapiroGabriel Byrne,87,127
Dream Scenario,6.9,2023,R,Comedy,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson,74,102
MaXXXine,7.1,2024,R,Crime,Ti West,Ti West,66.9,103
Exhuma,7,2024,R,Horror,Jang Jae-hyun,Jang Jae-hyun,66.9,116.3
Shaitaan,6.7,2024,Not Rated,Drama,Vikas Bahl,Aamil Keeyan KhanKrishnadev Yagnik,66.9,132
28 Days Later,7.5,2002,R,Drama,Danny Boyle,Cillian MurphyNaomie HarrisChristopher Eccleston,73,113
Alien: Romulus,7.1,2024,R,Horror,Fede Alvarez,Fede AlvarezRodo SayaguesDan O'Bannon,66.9,116.3
Arcadian,5.5,2024,R,Action,Benjamin Brewer,Nicolas CageJaeden MartellMaxwell Jenkins,60,92
A Quiet Place: Day One,7.1,2024,R,Drama,Michael Sarnoski,Michael SarnoskiJohn KrasinskiBryan Woods,66.9,116.3
Barbarian,7,2022,R,Horror,Zach Cregger,Georgina CampbellBill SkarsgårdJustin Long,78,102
The Coffee Table,6.8,2022,16+,Comedy,Caye Casas,David ParejaEstefanía de los SantosJosep Maria Riera,72,91
Immaculate,5.8,2024,R,Horror,Michael Mohan,Sydney SweeneyÁlvaro MorteSimona Tabasco,57,89
Pearl,7,2022,R,Drama,Ti West,Ti WestMia Goth,76,103
The Crow,7.1,2024,R,Action,Rupert Sanders,Bill SkarsgårdFKA twigsDanny Huston,66.9,116.3
The Invitation,5.3,2022,PG-13,Horror,Jessica M. Thompson,Nathalie EmmanuelThomas DohertySean Pertwee,45,105
The Watchers,7.1,2024,PG-13,Fantasy,Ishana Shyamalan,Dakota FanningGeorgina CampbellOlwen Fouéré,66.9,102
In a Violent Nature,5.7,2024,R,Drama,Chris Nash,Chris Nash,65,116.3
The Strangers,6.1,2008,R,Horror,Bryan Bertino,Scott SpeedmanLiv TylerGemma Ward,47,86
Tarot,4.9,2024,PG-13,Horror,Spenser Cohen,Harriet SlaterAdain BradleyJacob Batalon,36,92
X,6.5,2022,R,Horror,Ti West,Mia GothJenna OrtegaBrittany Snow,80,105
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57,92
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81,124
I Saw the TV Glow,6.9,2024,PG-13,Drama,Jane Schoenbrun,Justice SmithBrigette Lundy-PaineIan Foreman,84,100
Late Night with the Devil,7.1,2023,R,Horror,Cameron Cairnes,David DastmalchianLaura GordonIan Bliss,72,93
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101
The Substance,8,2024,R,Drama,Coralie Fargeat,Margaret QualleyDemi MooreDennis Quaid,83,116.3
Abigail,6.7,2024,R,Horror,Matt Bettinelli-Olpin,Melissa BarreraDan StevensAlisha Weir,62,109
The Strangers: Chapter 1,5,2024,R,Horror,Renny Harlin,Madelaine PetschRyan BownMatus Lajcak,43,91
Beetlejuice Beetlejuice,7.1,2024,R,Comedy,Tim Burton,Alfred GoughMiles MillarSeth Grahame-Smith,66.9,116.3
Alien,8.5,1979,R,Horror,Ridley Scott,Dan O'BannonRonald Shusett,89,117
Deadpool 2,7.6,2018,R,Action,David Leitch,Rhett ReesePaul WernickRyan Reynolds,66,119
Avengers: Endgame,8.4,2019,PG-13,Action,Anthony Russo,Christopher MarkusStephen McFeelyStan Lee,78,181
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95
Ghostbusters: Afterlife,7,2021,PG-13,Adventure,Jason Reitman,Gil KenanJason ReitmanIvan Reitman,45,124
Spider-Man: Across the Spider-Verse,8.6,2023,PG,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,86,140
Star Wars: Episode I - The Phantom Menace,6.5,1999,PG,Action,George Lucas,Ewan McGregorLiam NeesonNatalie Portman,51,136
Spider-Man: No Way Home,8.2,2021,PG-13,Action,Jon Watts,Chris McKennaErik SommersStan Lee,71,148
Ghostbusters,7.8,1984,PG,Action,Ivan Reitman,Bill MurrayDan AykroydSigourney Weaver,71,105
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,35,122
The Matrix,8.7,1999,R,Action,Lana Wachowski,Keanu ReevesLaurence FishburneCarrie-Anne Moss,73,136
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Blade Runner 2049,8,2017,R,Action,Denis Villeneuve,Hampton FancherMichael GreenPhilip K. Dick,81,164
Jurassic Park,8.2,1993,PG-13,Action,Steven Spielberg,Michael CrichtonDavid Koepp,68,127
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen,52,126
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray,68,142
Godzilla vs. Kong,6.3,2021,PG-13,Action,Adam Wingard,Terry RossioMichael DoughertyZach Shields,59,113
Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,31,133
Alien: Romulus,7.1,2024,R,Horror,Fede Alvarez,Fede AlvarezRodo SayaguesDan O'Bannon,66.9,116.3
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,74,148
Dune,6.3,1984,PG-13,Action,David Lynch,Kyle MacLachlanVirginia MadsenFrancesca Annis,41,137
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Terry HayesGeorge MillerByron Kennedy,71,107
Interstellar,8.7,2014,PG-13,Adventure,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,74,169
Her,8,2013,R,Drama,Spike Jonze,Joaquin PhoenixAmy AdamsScarlett Johansson,91,126
Planet of the Apes,8,1968,G,Adventure,Franklin J. Schaffner,Michael WilsonRod SerlingPierre Boulle,79,112
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54,157
Upgrade,7.5,2018,R,Action,Leigh Whannell,Logan Marshall-GreenMelanie VallejoSteve Danielsen,67,100
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77,96
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57,92
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81,124
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79,130
Rise of the Planet of the Apes,7.6,2011,PG-13,Action,Rupert Wyatt,James FrancoAndy SerkisFreida Pinto,68,105
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50,120
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73,88
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82,140
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46,115
Poor Things,7.9,2023,R,Comedy,Yorgos Lanthimos,Emma StoneMark RuffaloWillem Dafoe,88,141
Dune,8,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,74,155
Deadpool & Wolverine,7.1,2024,R,Action,Shawn Levy,Shawn LevyRhett ReeseRyan Reynolds,66.9,116.3
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47,115
